"sample","Pain_VAS","Pain_red","TNF","IL6","BDNF","CPT","kon","koff","kT_TNF","kT_IL6","k_up","k_reb","Kd_OPRM1","k_hyper","kIL6_BDNF","kB_TAC1","kdTNF","kdIL6"
210,4.04033176395156,42.280974800692,2.15384718784654,5.24417062624174,1.91299644769672,43.7749201268402,0.331183679557925,0.527962165034221,2.99174443470469,1.7835680973342,0.0620425981304764,0.0328494189616176,0.00347713850848749,1.07616488044352,0.76369967853697,0.777144141851459,0.721971724535339,0.293261222719875
211,3.72660317114504,46.7628118407851,0.9667350665024,5.17673106480711,2.31796787988114,45.8154834961574,0.160747196814705,4.89964558445701,2.88371186757965,1.97611543433058,0.0411012744070186,0.0439193579045241,0.00457069312860072,1.08752499414592,1.18278734883565,0.541425275706686,1.93396850403072,0.311803151883767
212,3.56307412141684,49.0989411226166,1.74289153813349,8.37602648969953,2.61970062644164,46.0751831769992,0.290258549310461,0.176028467632985,1.47771779844925,0.526439972768227,0.0483926339651303,0.0532030180196161,0.00335438803938404,0.627292651402764,0.919413791940625,0.95614223669221,0.582868370061275,0.128213927687068
213,4.21007369299976,39.8560901000035,2.57538179711958,9.6903674641635,1.73565884493058,42.6761051988846,0.133665715590585,2.51492428777444,2.38635921333024,0.70625513028012,0.0421000499720375,0.028214726523147,0.00328629877538234,1.14240011043233,0.31758297818612,1.04946965302217,0.422992595241405,0.118271496409628
214,3.47474540901526,50.3607798712105,0.985170105272487,11.79446466196,2.39828174537798,45.5297605047937,0.35931240355346,0.256527645047676,2.58783200037316,1.99368086448576,0.0173604415062349,0.0276392800975009,0.00261394483898208,0.389449719650283,0.554752904506943,1.03611089667647,1.73552227083454,0.13630854372459
215,3.2216145050041,53.9769356427985,1.13716135560555,4.08696690181222,1.52348361261934,47.3534333056487,0.283781987550436,2.24211528065622,1.54691380370913,1.11353520400263,0.054780248677164,0.0191664586391998,0.00290452998787537,0.277825438684629,0.481486476713714,1.60518411885249,1.05777942352928,0.317026545633795
216,5.32566308747729,23.9190987503244,2.04025335415245,8.03109468854641,2.21574495204038,35.4907195881797,0.328078756859899,2.67731850787764,3.35251151164606,2.30666698753694,0.09799768113095,0.0553769436409348,0.00140813769381493,1.15910458486907,0.695838651627535,1.54025845923942,0.871377937835641,0.216026365752604
217,4.22507014581065,39.6418550598478,0.899228122078478,3.53062980135852,1.69143565466574,41.8570069726402,0.0976499709548273,4.47079425287573,1.69983124469407,0.74652103888647,0.0718563903844139,0.0424632138081361,0.0021630204622224,0.822462763747355,0.806147524389749,1.86929089410696,1.49626339224773,0.328859088227424
218,3.50153280750541,49.9781027499228,0.880134485136861,26.2478108704548,3.91992088484455,45.0585185023563,0.0845042321107428,0.158274978888687,2.18766759610851,2.35184285270733,0.0896746203478659,0.0269838908848469,0.00180600879535079,0.308928780302173,0.552472215656657,1.90796019558764,1.78452302893484,0.0665677807157238
219,4.4700785851488,36.1417344978743,0.599384310397814,8.33885983308185,2.67874906517538,40.2750579247536,0.101877964603575,0.553604353653733,0.996577060958371,2.29274081193532,0.0246312140660205,0.0788059446375701,0.00205323126065359,0.918790021554645,0.960545898504089,0.849362494918828,1.87188191712042,0.207360493169787
220,3.76876488086418,46.1605017019402,1.97808402603459,8.29839593478789,2.64116721324326,45.400941369856,0.156710841477313,1.34887214981113,3.0470566549125,1.19771386101174,0.0722641330389073,0.048447986826417,0.00379745463575423,0.926544472729399,0.941543954598252,0.83109863090748,0.841188227983192,0.159878556208064
221,2.98887733532733,57.3017523524667,3.44351193196224,18.7262080051673,4.02282409202602,48.830831701501,0.189902976378659,2.91361615287854,2.74178508973952,1.48363957484144,0.108274781785052,0.0291949357028352,0.00304076665021107,0.117791627732338,0.803118816000875,1.68182955762527,0.230850803681649,0.0764914915251623
222,3.27299114594475,53.2429836293607,2.35464457652024,3.19942365534165,1.3721374329545,47.1356444786118,0.381017703991647,0.465681641758264,3.59850512832287,0.716042103012403,0.0622688684094387,0.00812125757272588,0.00329627174190059,0.346396670155382,0.367653334183541,2.34330069778363,0.738467786932364,0.358245131101964
223,5.11858612071605,26.8773411326279,2.50597441542287,3.0903517288782,1.54716579551701,36.2387254553169,0.48060374036228,4.86215600279975,1.84918408690214,0.779014659150814,0.0970814820015648,0.0401109872600646,0.00122909197628498,0.989284013676923,0.676841115206402,1.72162687978381,0.349145908279344,0.3794622647155
224,3.90914009535021,44.155141494997,0.732973041245239,5.90909770448475,1.5748700572029,43.2531730718076,0.41407604121721,0.183070732842199,1.28051893671586,0.774062033672507,0.0737871587100128,0.0535877786164638,0.00197161126404628,0.592823187357513,0.378496093823885,0.568171999474367,1.6256430800478,0.196445407819352
225,2.96838894813535,57.5944435980664,2.19004539031078,5.32825044125871,2.06883583792802,49.1576727666772,0.37427009198297,2.71124830648939,3.02241471255703,1.09531704625192,0.111281070177304,0.0314647306150291,0.00334383812052757,0.133097033174786,0.90461427920886,2.14495394259489,0.712363329727668,0.241899008555221
226,4.1081286248923,41.3124482158243,1.67084798992371,3.59665443276092,1.58145810584618,42.1126529034278,0.299397950820687,0.625918805830491,1.07512882063049,0.430148832362766,0.053113368257756,0.0633397319478099,0.00189121887963638,0.672843035636082,0.631427326709342,1.77234341384579,0.510967558614444,0.28995994230938
227,3.98457681230439,43.0774741099373,1.78812246861364,7.08897777500572,1.46974078979324,43.5344233618506,0.109856337714847,1.13775300462932,3.83960961294593,2.48867061410146,0.0730330563542433,0.0180837189758895,0.00283049844382703,0.835769092615616,0.237939006744496,1.45531228669562,1.17733967289422,0.254231704159717
228,3.45245768985442,50.6791758592226,1.38005882676407,4.66837618022955,1.32688581713288,46.292488968883,0.391701381685003,4.75805949195893,3.85346681821432,1.94822761608101,0.0758696873984688,0.0411988836207311,0.0027759580332078,0.448963293955196,0.20127187427273,1.34210380419142,1.59466466430854,0.343452242759677
229,4.85813619556533,30.5980543490667,0.973814556355339,3.484241760552,1.85853536928329,38.4301164525707,0.224732501826358,2.75855956317135,1.83648416017337,0.950534982921711,0.084745662578661,0.0717796997303958,0.00186859490095824,1.10689597675856,1.06770432048384,0.976547318021767,1.42184593918687,0.354719614975426
230,3.69140137786729,47.2656946018958,2.12987302513532,5.27275780485474,1.30510451082374,46.1315330227321,0.499923292488558,2.21970774631202,0.84468780443732,0.900916636422587,0.0404559580429224,0.0617983084435109,0.00484962658335641,1.12828193661128,0.156596722657715,1.67123815100097,0.274406631716527,0.230784783682708
231,3.77611227395457,46.0555389435062,0.977491609130037,4.89223375556176,1.95441467078153,44.5583890629388,0.226646806055447,4.17217466537639,1.10883786212187,0.313376298020904,0.103860467536383,0.0509891530992463,0.00255213497733697,0.635220875018121,0.862916397522514,1.53557325463494,1.07282178017218,0.204681600459425
232,3.24080180094179,53.7028314151173,1.12520097875047,3.77127579494144,1.48330188680289,48.5341351043291,0.431801150938123,3.45581564285466,0.572504935225394,1.35616820249505,0.106281275288148,0.0533100217073807,0.00466668834502995,0.599187159804317,0.466067443366706,0.615420709015957,0.67356269123964,0.367250720355272
233,4.228861857058,39.5876877563143,1.44888256308869,11.2408664564172,2.02371673954834,41.9879568889482,0.0504419035048845,2.57664191883267,1.13386230068087,2.45330198535603,0.0554020888972717,0.0768987911014119,0.00232076184285432,0.865108831051426,0.407801174901503,1.92242618553651,0.643542994859628,0.159250707219549
234,5.30018749592256,24.2830357725348,0.818213487875576,5.83091924915019,2.03511876603449,34.9875161313376,0.11275209931406,3.49023010354458,0.617069816977018,2.31385927258696,0.088212384702242,0.0740065631614416,0.00099858265208453,0.995810716775867,0.796387490194989,0.3022131255342,1.06668996327138,0.298166117618869
235,3.67155655531196,47.549192066972,2.0197431828975,21.4984190213105,3.44293224032846,45.2075458596962,0.200518805861877,2.20606510422456,2.20973817721475,2.48060340876381,0.107337628926841,0.0079320595068275,0.0032486676921621,0.66279588238926,0.558484584611375,2.22815785178309,0.62439840287203,0.0836961251532969
236,3.6997606492027,47.1462764399614,1.12169513324158,4.21025277493437,1.70978698724784,45.9552202792528,0.429335442784506,1.38350138700078,3.58001893512245,1.64383942942865,0.11011420780619,0.0396388266154099,0.00409243739362806,0.966435800695404,0.698814560689187,0.386023871419796,1.90726933568344,0.353742852714572
